<<<<<<< HEAD
model_name,metric_name,score,passed_threshold,threshold_applied,generated_text,reference_text
fintunedDistilBERT,Jaccard,0.25,False,0.5,"negative, positive,negative","negative, positive, positive"
fintunedDistilBERT,ROUGE_rouge1,0.6666666666666666,True,0.5,"negative, positive,negative","negative, positive, positive"
fintunedDistilBERT,ROUGE_rouge2,0.5,True,0.5,"negative, positive,negative","negative, positive, positive"
fintunedDistilBERT,ROUGE_rougeL,0.6666666666666666,True,0.5,"negative, positive,negative","negative, positive, positive"
DistilBERT,Jaccard,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
DistilBERT,ROUGE_rouge1,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
DistilBERT,ROUGE_rouge2,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
DistilBERT,ROUGE_rougeL,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
GPT,Jaccard,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
GPT,ROUGE_rouge1,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
GPT,ROUGE_rouge2,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
GPT,ROUGE_rougeL,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
Statistical,Jaccard,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
Statistical,ROUGE_rouge1,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
Statistical,ROUGE_rouge2,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
Statistical,ROUGE_rougeL,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
=======
model_name,metric_name,score,passed_threshold,threshold_applied,generated_text,reference_text
fintunedDistilBERT,Jaccard,0.25,False,0.5,"negative, positive,negative","negative, positive, positive"
fintunedDistilBERT,ROUGE_rouge1,0.6666666666666666,True,0.5,"negative, positive,negative","negative, positive, positive"
fintunedDistilBERT,ROUGE_rouge2,0.5,True,0.5,"negative, positive,negative","negative, positive, positive"
fintunedDistilBERT,ROUGE_rougeL,0.6666666666666666,True,0.5,"negative, positive,negative","negative, positive, positive"
DistilBERT,Jaccard,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
DistilBERT,ROUGE_rouge1,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
DistilBERT,ROUGE_rouge2,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
DistilBERT,ROUGE_rougeL,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
GPT,Jaccard,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
GPT,ROUGE_rouge1,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
GPT,ROUGE_rouge2,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
GPT,ROUGE_rougeL,1.0,True,0.5,"negative, positive, positive","negative, positive, positive"
Statistical,Jaccard,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
Statistical,ROUGE_rouge1,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
Statistical,ROUGE_rouge2,0.5,True,0.5,"negative, positive, negative","negative, positive, positive"
Statistical,ROUGE_rougeL,0.6666666666666666,True,0.5,"negative, positive, negative","negative, positive, positive"
>>>>>>> e1c35617500cc7be81098dddeed6e535deecea7b
